car_type,date,geo,trips,grouping,monthly,parent_type,monthly_is_estimated
Gett,2016-04-01,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-02,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-03,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-04,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-05,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-06,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-07,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-08,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-09,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-10,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-11,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-12,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-13,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-14,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-15,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-16,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-17,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-18,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-19,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-20,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-21,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-22,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-23,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-24,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-25,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-26,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-27,airports,0,gett,NA,Ride-hailing apps,TRUE
Gett,2016-04-28,airports,0,gett,4700.280723775811,Ride-hailing apps,TRUE
Gett,2016-04-29,airports,0,gett,4715.222965023819,Ride-hailing apps,TRUE
Gett,2016-04-30,airports,0,gett,4701.80779668325,Ride-hailing apps,TRUE
Gett,2016-05-01,airports,0,gett,4716.529054883324,Ride-hailing apps,TRUE
Gett,2016-05-02,airports,0,gett,4754.7946243907745,Ride-hailing apps,TRUE
Gett,2016-05-03,airports,0,gett,4789.772384628923,Ride-hailing apps,TRUE
Gett,2016-05-04,airports,0,gett,4794.969477779346,Ride-hailing apps,TRUE
Gett,2016-05-05,airports,0,gett,4766.366745854067,Ride-hailing apps,TRUE
Gett,2016-05-06,airports,0,gett,4677.294709756086,Ride-hailing apps,TRUE
Gett,2016-05-07,airports,0,gett,4655.925202699499,Ride-hailing apps,TRUE
Gett,2016-05-08,airports,0,gett,4648.590045519537,Ride-hailing apps,TRUE
Gett,2016-05-09,airports,0,gett,4647.630438143378,Ride-hailing apps,TRUE
Gett,2016-05-10,airports,0,gett,4657.998643024516,Ride-hailing apps,TRUE
Gett,2016-05-11,airports,0,gett,4659.898041541496,Ride-hailing apps,TRUE
Gett,2016-05-12,airports,0,gett,4653.551828228283,Ride-hailing apps,TRUE
Gett,2016-05-13,airports,0,gett,4638.206429970214,Ride-hailing apps,TRUE
Gett,2016-05-14,airports,0,gett,4641.825445703813,Ride-hailing apps,TRUE
Gett,2016-05-15,airports,0,gett,4633.999929706358,Ride-hailing apps,TRUE
Gett,2016-05-16,airports,0,gett,4638.022588778247,Ride-hailing apps,TRUE
Gett,2016-05-17,airports,0,gett,4669.150746599735,Ride-hailing apps,TRUE
Gett,2016-05-18,airports,0,gett,4672.556097371438,Ride-hailing apps,TRUE
Gett,2016-05-19,airports,0,gett,4708.673108978094,Ride-hailing apps,TRUE
Gett,2016-05-20,airports,0,gett,4731.204766956608,Ride-hailing apps,TRUE
Gett,2016-05-21,airports,0,gett,4754.815223061646,Ride-hailing apps,TRUE
Gett,2016-05-22,airports,0,gett,4781.557339778193,Ride-hailing apps,TRUE
Gett,2016-05-23,airports,0,gett,4770.572729945126,Ride-hailing apps,TRUE
Gett,2016-05-24,airports,0,gett,4788.294181115036,Ride-hailing apps,TRUE
Gett,2016-05-25,airports,0,gett,4788.906490029794,Ride-hailing apps,TRUE
Gett,2016-05-26,airports,0,gett,4770.9682457280005,Ride-hailing apps,TRUE
Gett,2016-05-27,airports,0,gett,4742.9501580823335,Ride-hailing apps,TRUE
Gett,2016-05-28,airports,0,gett,4689.197432808467,Ride-hailing apps,TRUE
Gett,2016-05-29,airports,0,gett,4605.01660323526,Ride-hailing apps,TRUE
Gett,2016-05-30,airports,0,gett,4595.769170561051,Ride-hailing apps,TRUE
Gett,2016-05-31,airports,0,gett,4656.355320193226,Ride-hailing apps,TRUE
Gett,2016-06-01,airports,0,gett,4688.918572265779,Ride-hailing apps,TRUE
Gett,2016-06-02,airports,0,gett,4711.444180456714,Ride-hailing apps,TRUE
Gett,2016-06-03,airports,0,gett,4778.753449216347,Ride-hailing apps,TRUE
Gett,2016-06-04,airports,0,gett,4796.701715739521,Ride-hailing apps,TRUE
Gett,2016-06-05,airports,0,gett,4802.236788834694,Ride-hailing apps,TRUE
Gett,2016-06-06,airports,0,gett,4838.980858096346,Ride-hailing apps,TRUE
Gett,2016-06-07,airports,0,gett,4829.990556078357,Ride-hailing apps,TRUE
