locationid,zone,borough,estimated_total_votes,trump,clinton,johnson,stein
2,Jamaica Bay,Queens,5,0.691379310344828,0.275862068965517,0.0224137931034483,0.0103448275862069
3,Allerton/Pelham Gardens,Bronx,9314,0.178397311287364,0.802189270774096,0.00723765690301305,0.0121757610355272
4,Alphabet City,Manhattan,9941,0.0610383365205668,0.908084167474322,0.00844762436478759,0.0224298716403237
5,Arden Heights,Staten Island,9161,0.678545367092546,0.301681625404634,0.0128918813551566,0.00688112614766332
6,Arrochar/Fort Wadsworth,Staten Island,5742,0.539860537735964,0.432456163823248,0.0154870510374244,0.0121962474033634
7,Astoria,Queens,27308,0.152478054261674,0.814506064861358,0.0139954047220178,0.0190204761549502
8,Astoria Park,Queens,691,0.201889108096201,0.763549808736531,0.0138301575444278,0.0207309256228404
9,Auburndale,Queens,5787,0.394990442331963,0.578733450617068,0.0133417594656526,0.0129343475853166
10,Baisley Park,Queens,11945,0.0285289004145999,0.958268938048513,0.00393026648739286,0.00927189504949399
11,Bath Beach,Brooklyn,6800,0.471384428769216,0.501051600365007,0.0169233830047382,0.0106405878610394
12,Battery Park,Manhattan,232,0.133317591262451,0.829226544300527,0.0222513650281761,0.0152044994088456
13,Battery Park City,Manhattan,5813,0.167851535169898,0.791147788828509,0.0302892841140005,0.0107113918875922
14,Bay Ridge,Brooklyn,28490,0.358501820350361,0.602373004231852,0.0187793359178817,0.0203458394999052
15,Bay Terrace/Fort Totten,Queens,9073,0.387367585861332,0.589100066732056,0.0135136826149186,0.0100186647916942
16,Bayside,Queens,15250,0.381683779835925,0.585971585326506,0.0161257217951233,0.0162189130424457
17,Bedford,Brooklyn,21321,0.0427555100424325,0.9309875656075,0.00582779120756171,0.0204291331425057
18,Bedford Park,Bronx,11339,0.0710528848131027,0.912074119548183,0.00522255872723563,0.011650436911479
19,Bellerose,Queens,10262,0.279723183758974,0.694517290690032,0.0131524720886278,0.0126070534623669
20,Belmont,Bronx,5294,0.0735277876690545,0.906595479733621,0.00666236939319529,0.013214363204129
21,Bensonhurst East,Brooklyn,12851,0.45194000783245,0.520561101843925,0.0132213929313608,0.0142774973922649
22,Bensonhurst West,Brooklyn,16875,0.440151749622075,0.532151654895156,0.0135152975996464,0.0141812978831225
23,Bloomfield/Emerson Hill,Staten Island,12903,0.556033824170546,0.423803104871807,0.011544730987719,0.00861833996992783
24,Bloomingdale,Manhattan,8114,0.0534685509464884,0.918442195695335,0.00899378740343765,0.0190954659547386
25,Boerum Hill,Brooklyn,10498,0.0364680241797999,0.935604844344062,0.0118629595647575,0.0160641719113806
26,Borough Park,Brooklyn,18947,0.693501328710467,0.282360181032731,0.0166770835594854,0.007461406697317
27,Breezy Point/Fort Tilden/Riis Beach,Queens,2490,0.741882707335545,0.222872107498563,0.0231366635332529,0.0121085216326389
