car_type,pickup_hour,trips
uber,2016-12-01T05:00:00Z,250
uber,2016-12-01T06:00:00Z,73
uber,2016-12-01T07:00:00Z,12
uber,2016-12-01T08:00:00Z,15
uber,2016-12-01T09:00:00Z,43
uber,2016-12-01T10:00:00Z,178
uber,2016-12-01T11:00:00Z,233
uber,2016-12-01T12:00:00Z,158
uber,2016-12-01T13:00:00Z,130
uber,2016-12-01T14:00:00Z,70
uber,2016-12-01T15:00:00Z,112
uber,2016-12-01T16:00:00Z,72
uber,2016-12-01T17:00:00Z,135
uber,2016-12-01T18:00:00Z,173
uber,2016-12-01T19:00:00Z,263
uber,2016-12-01T20:00:00Z,352
uber,2016-12-01T21:00:00Z,272
uber,2016-12-01T22:00:00Z,288
uber,2016-12-01T23:00:00Z,235
uber,2016-12-02T00:00:00Z,234
uber,2016-12-02T01:00:00Z,341
uber,2016-12-02T02:00:00Z,418
uber,2016-12-02T03:00:00Z,302
uber,2016-12-02T04:00:00Z,342
uber,2016-12-02T05:00:00Z,177
uber,2016-12-02T06:00:00Z,191
uber,2016-12-02T07:00:00Z,20
uber,2016-12-02T08:00:00Z,1
uber,2016-12-02T09:00:00Z,12
uber,2016-12-02T10:00:00Z,249
uber,2016-12-02T11:00:00Z,309
uber,2016-12-02T12:00:00Z,182
uber,2016-12-02T13:00:00Z,138
uber,2016-12-02T14:00:00Z,99
uber,2016-12-02T15:00:00Z,130
uber,2016-12-02T16:00:00Z,131
uber,2016-12-02T17:00:00Z,165
uber,2016-12-02T18:00:00Z,230
uber,2016-12-02T19:00:00Z,232
uber,2016-12-02T20:00:00Z,429
uber,2016-12-02T21:00:00Z,253
uber,2016-12-02T22:00:00Z,239
uber,2016-12-02T23:00:00Z,176
uber,2016-12-03T00:00:00Z,338
uber,2016-12-03T01:00:00Z,377
uber,2016-12-03T02:00:00Z,303
uber,2016-12-03T03:00:00Z,308
uber,2016-12-03T04:00:00Z,297
uber,2016-12-03T05:00:00Z,153
uber,2016-12-03T06:00:00Z,82
uber,2016-12-03T07:00:00Z,16
uber,2016-12-03T08:00:00Z,4
uber,2016-12-03T09:00:00Z,11
uber,2016-12-03T10:00:00Z,184
uber,2016-12-03T11:00:00Z,239
uber,2016-12-03T12:00:00Z,163
uber,2016-12-03T13:00:00Z,124
uber,2016-12-03T14:00:00Z,121
uber,2016-12-03T15:00:00Z,164
uber,2016-12-03T16:00:00Z,109
uber,2016-12-03T17:00:00Z,168
uber,2016-12-03T18:00:00Z,217
uber,2016-12-03T19:00:00Z,231
uber,2016-12-03T20:00:00Z,314
uber,2016-12-03T21:00:00Z,228
uber,2016-12-03T22:00:00Z,237
uber,2016-12-03T23:00:00Z,135
uber,2016-12-04T00:00:00Z,206
uber,2016-12-04T01:00:00Z,252
uber,2016-12-04T02:00:00Z,302
uber,2016-12-04T03:00:00Z,292
uber,2016-12-04T04:00:00Z,165
uber,2016-12-04T05:00:00Z,72
uber,2016-12-04T06:00:00Z,40
uber,2016-12-04T07:00:00Z,6
uber,2016-12-04T08:00:00Z,9
uber,2016-12-04T09:00:00Z,12
uber,2016-12-04T10:00:00Z,142
uber,2016-12-04T11:00:00Z,152
uber,2016-12-04T12:00:00Z,170
uber,2016-12-04T13:00:00Z,143
uber,2016-12-04T14:00:00Z,133
uber,2016-12-04T15:00:00Z,196
uber,2016-12-04T16:00:00Z,156
uber,2016-12-04T17:00:00Z,261
uber,2016-12-04T18:00:00Z,289
uber,2016-12-04T19:00:00Z,352
uber,2016-12-04T20:00:00Z,497
uber,2016-12-04T21:00:00Z,428
uber,2016-12-04T22:00:00Z,370
uber,2016-12-04T23:00:00Z,398
uber,2016-12-05T00:00:00Z,356
uber,2016-12-05T01:00:00Z,471
uber,2016-12-05T02:00:00Z,565
uber,2016-12-05T03:00:00Z,424
uber,2016-12-05T04:00:00Z,468
uber,2016-12-05T05:00:00Z,312
uber,2016-12-05T06:00:00Z,194
uber,2016-12-05T07:00:00Z,11
uber,2016-12-05T08:00:00Z,11
uber,2016-12-05T09:00:00Z,13
uber,2016-12-05T10:00:00Z,272
uber,2016-12-05T11:00:00Z,334
uber,2016-12-05T12:00:00Z,197
uber,2016-12-05T13:00:00Z,212
uber,2016-12-05T14:00:00Z,161
uber,2016-12-05T15:00:00Z,167
uber,2016-12-05T16:00:00Z,124
uber,2016-12-05T17:00:00Z,217
uber,2016-12-05T18:00:00Z,213
uber,2016-12-05T19:00:00Z,291
uber,2016-12-05T20:00:00Z,399
uber,2016-12-05T21:00:00Z,275
uber,2016-12-05T22:00:00Z,288
uber,2016-12-05T23:00:00Z,247
uber,2016-12-06T00:00:00Z,270
uber,2016-12-06T01:00:00Z,407
uber,2016-12-06T02:00:00Z,388
uber,2016-12-06T03:00:00Z,416
uber,2016-12-06T04:00:00Z,265
uber,2016-12-06T05:00:00Z,258
uber,2016-12-06T06:00:00Z,56
uber,2016-12-06T07:00:00Z,8
uber,2016-12-06T08:00:00Z,4
uber,2016-12-06T09:00:00Z,40
uber,2016-12-06T10:00:00Z,147
uber,2016-12-06T11:00:00Z,190
uber,2016-12-06T12:00:00Z,194
uber,2016-12-06T13:00:00Z,114
uber,2016-12-06T14:00:00Z,86
uber,2016-12-06T15:00:00Z,150
uber,2016-12-06T16:00:00Z,80
uber,2016-12-06T17:00:00Z,187
uber,2016-12-06T18:00:00Z,174
uber,2016-12-06T19:00:00Z,243
uber,2016-12-06T20:00:00Z,255
uber,2016-12-06T21:00:00Z,315
uber,2016-12-06T22:00:00Z,261
uber,2016-12-06T23:00:00Z,170
uber,2016-12-07T00:00:00Z,209
uber,2016-12-07T01:00:00Z,315
uber,2016-12-07T02:00:00Z,302
uber,2016-12-07T03:00:00Z,359
uber,2016-12-07T04:00:00Z,287
uber,2016-12-07T05:00:00Z,108
uber,2016-12-07T06:00:00Z,44
uber,2016-12-07T07:00:00Z,4
uber,2016-12-07T08:00:00Z,6
uber,2016-12-07T09:00:00Z,31
uber,2016-12-07T10:00:00Z,186
uber,2016-12-07T11:00:00Z,141
uber,2016-12-07T12:00:00Z,128
uber,2016-12-07T13:00:00Z,113
uber,2016-12-07T14:00:00Z,74
uber,2016-12-07T15:00:00Z,78
uber,2016-12-07T16:00:00Z,111
uber,2016-12-07T17:00:00Z,155
uber,2016-12-07T18:00:00Z,193
uber,2016-12-07T19:00:00Z,286
uber,2016-12-07T20:00:00Z,314
uber,2016-12-07T21:00:00Z,249
uber,2016-12-07T22:00:00Z,256
uber,2016-12-07T23:00:00Z,203
uber,2016-12-08T00:00:00Z,220
uber,2016-12-08T01:00:00Z,345
uber,2016-12-08T02:00:00Z,410
uber,2016-12-08T03:00:00Z,303
uber,2016-12-08T04:00:00Z,244
uber,2016-12-08T05:00:00Z,145
uber,2016-12-08T06:00:00Z,20
uber,2016-12-08T07:00:00Z,10
uber,2016-12-08T08:00:00Z,5
uber,2016-12-08T09:00:00Z,27
uber,2016-12-08T10:00:00Z,280
uber,2016-12-08T11:00:00Z,179
uber,2016-12-08T12:00:00Z,135
uber,2016-12-08T13:00:00Z,114
