locationid,zone,borough,lyft_share_change,pre_strike_lyft_share,post_strike_lyft_share,rest_of_2017_lyft_share,lyft_share_2016,lyft_share_change_pct,pre_strike_lyft_share_pct,post_strike_lyft_share_pct,rest_of_2017_lyft_share_pct,lyft_share_2016_pct
54,Columbia Street,Brooklyn,0.16218893328979953301,0.15682224975905273303,0.31901118304885226604,0.30416933410562042090,0.14240073026015518028,16%,16%,32%,30%,14%
189,Prospect Heights,Brooklyn,0.16017123501519100791,0.14963227886359057022,0.30980351387878157813,0.31791547046409491036,0.15262760074790149978,16%,15%,31%,32%,15%
106,Gowanus,Brooklyn,0.15775566375465888394,0.15281512431224920366,0.31057078806690808760,0.31618924013473007633,0.14355493374763093892,16%,15%,31%,32%,14%
257,Windsor Terrace,Brooklyn,0.15562834972846413853,0.15874847727127011605,0.31437682699973425458,0.31897835780823197068,0.14163582437639424052,16%,16%,31%,32%,14%
112,Greenpoint,Brooklyn,0.15147811705303743597,0.14178910874743520200,0.29326722580047263797,0.30279140382907045446,0.14307918081869559636,15%,14%,29%,30%,14%
49,Clinton Hill,Brooklyn,0.14776668446471212696,0.15641723494694351855,0.30418391941165564551,0.30555037327543521909,0.16561362787553667939,15%,16%,30%,31%,17%
34,Brooklyn Navy Yard,Brooklyn,0.14710599927537754549,0.12145640198844551928,0.26856240126382306477,0.25252689147013066343,0.12155290741202894934,15%,12%,27%,25%,12%
40,Carroll Gardens,Brooklyn,0.14568216737364158620,0.12792482497847328816,0.27360699235211487436,0.29433772525018787744,0.11854542173295134111,15%,13%,27%,29%,12%
190,Prospect Park,Brooklyn,0.13700513116902251550,0.15479603087100330761,0.29180116204002582311,0.22248544072648307176,0.13745921150117439349,14%,15%,29%,22%,14%
181,Park Slope,Brooklyn,0.13637456072961026503,0.14531278023731085456,0.28168734096692111959,0.29567864433229024432,0.14242688615132783052,14%,15%,28%,30%,14%
52,Cobble Hill,Brooklyn,0.13062384193087604326,0.13056432870508312973,0.26118817063595917299,0.30405163327085139857,0.12244402722965119992,13%,13%,26%,30%,12%
80,East Williamsburg,Brooklyn,0.12564088552749693340,0.14305598308328537587,0.26869686861078230927,0.28263647744539555589,0.15609046630288710625,13%,14%,27%,28%,16%
25,Boerum Hill,Brooklyn,0.12501254562346162251,0.14910796987636422214,0.27412051549982584465,0.27448941074425963554,0.14622863366229009931,13%,15%,27%,27%,15%
97,Fort Greene,Brooklyn,0.12469325685875870052,0.16071520940738314051,0.28540846626614184103,0.28776214406468453387,0.16533813319619439445,12%,16%,29%,29%,17%
36,Bushwick North,Brooklyn,0.12329538548421388371,0.17541627795211036666,0.29871166343632425037,0.29153366490980625046,0.18328777299064032090,12%,18%,30%,29%,18%
195,Red Hook,Brooklyn,0.12328235890110877524,0.16867394695787831513,0.29195630585898709037,0.30649099531417602891,0.17469965110588383878,12%,17%,29%,31%,17%
37,Bushwick South,Brooklyn,0.12249050180220237479,0.17503345985913947825,0.29752396166134185304,0.29057990830282087798,0.19007951070336391437,12%,18%,30%,29%,19%
225,Stuyvesant Heights,Brooklyn,0.12048184004662820022,0.19234291196092966468,0.31282475200755786490,0.28330373473048172611,0.21465903291603694788,12%,19%,31%,28%,21%
17,Bedford,Brooklyn,0.12010111557520321754,0.18066890495867768595,0.30077002053388090349,0.30977203605199204344,0.20071857468983718336,12%,18%,30%,31%,20%
256,Williamsburg (South Side),Brooklyn,0.11531592164819689880,0.12953134838535576145,0.24484727003355266025,0.27026522782121709984,0.14355020415789676150,12%,13%,24%,27%,14%
228,Sunset Park West,Brooklyn,0.11272816309159625045,0.16280627871362940276,0.27553444180522565321,0.25690318896513700046,0.16684555436297091353,11%,16%,28%,26%,17%
198,Ridgewood,Queens,0.11125310620958139850,0.23202715211354520210,0.34328025832312660060,0.27929091901261515745,0.21836292873525205851,11%,23%,34%,28%,22%
61,Crown Heights North,Brooklyn,0.10775579218726271499,0.18348739284336257948,0.29124318503062529447,0.26285687263195693442,0.20785642066591544078,11%,18%,29%,26%,21%
133,Kensington,Brooklyn,0.10035219077634713665,0.15961314717859220477,0.25996533795493934142,0.21634223610875069178,0.18451230614428774496,10%,16%,26%,22%,18%
255,Williamsburg (North Side),Brooklyn,0.09977179610653826428,0.12017908764013255306,0.21995088374667081734,0.23966378323655233453,0.13076785759824547982,10%,12%,22%,24%,13%
33,Brooklyn Heights,Brooklyn,0.09869209845740411014,0.12542886423383683108,0.22412096269124094122,0.24153559127439724455,0.12503785536053232101,10%,13%,22%,24%,13%
66,DUMBO/Vinegar Hill,Brooklyn,0.09509316774815510978,0.10609097918272937548,0.20118414693088448526,0.22265766594992418218,0.11594556546222430784,10%,11%,20%,22%,12%
31,Bronx Park,Bronx,0.08876926687156945231,0.17872044506258692629,0.26748971193415637860,0.13973784468724300556,0.16817230032904576727,9%,18%,27%,14%,17%
188,Prospect-Lefferts Gardens,Brooklyn,0.08532679426481625788,0.18636616690023228581,0.27169296116504854369,0.22159588877380288423,0.22016144162716523241,9%,19%,27%,22%,22%
125,Hudson Sq,Manhattan,0.08530145397573787491,0.09133102038002895021,0.17663247435576682512,0.16073451916332440064,0.08433293239524805984,9%,9%,18%,16%,8%
89,Flatbush/Ditmas Park,Brooklyn,0.08527728227061833466,0.17359845737435207954,0.25887573964497041420,0.21072954754822188764,0.20184808990131854253,9%,17%,26%,21%,20%
179,Old Astoria,Queens,0.08242519848236817816,0.21149498055530433210,0.29392017903767251026,0.31487820594736713314,0.19434892015691862244,8%,21%,29%,31%,19%
116,Hamilton Heights,Manhattan,0.08185655978530354188,0.17451250149539418591,0.25636906128069772779,0.21602374629634262718,0.19607612513272890631,8%,17%,26%,22%,20%
41,Central Harlem,Manhattan,0.08114721060023671407,0.14970882680102074200,0.23085603740125745607,0.22434681654151831214,0.15406898002950466635,8%,15%,23%,22%,15%
7,Astoria,Queens,0.07987811597136524826,0.18722958447848921059,0.26710770044985445885,0.26673279650489717142,0.18248321096109481282,8%,19%,27%,27%,18%
145,Long Island City/Hunters Point,Queens,0.07953046308056731384,0.16403832294713637712,0.24356878602770369096,0.26290092016663409100,0.15165808752688764014,8%,16%,24%,26%,15%
42,Central Harlem North,Manhattan,0.07789511835491581495,0.17588194771763170298,0.25377706607254751793,0.21943235536880018009,0.19677502873890574675,8%,18%,25%,22%,20%
232,Two Bridges/Seward Park,Manhattan,0.07736652141966733579,0.18438869840718718806,0.26175521982685452385,0.26595130408678697950,0.18893995745618571769,8%,18%,26%,27%,19%
62,Crown Heights South,Brooklyn,0.07697215544678083604,0.18918660591964826202,0.26615876136642909806,0.23192390095371824198,0.22931608957876911486,8%,19%,27%,23%,23%
146,Long Island City/Queens Plaza,Queens,0.07580035618831993642,0.17475671239301207645,0.25055706858133201287,0.25411932111113402487,0.15529122231337161608,8%,17%,25%,25%,16%
251,Westerleigh,Staten Island,0.07568987528233330060,0.10294117647058823529,0.17863105175292153589,0.15712206279891869412,0.09287593801773706266,8%,10%,18%,16%,9%
193,Queensbridge/Ravenswood,Queens,0.07551731926532054451,0.25694682675814751286,0.33246414602346805737,0.33377733075996049329,0.22685900114455970786,8%,26%,33%,33%,23%
223,Steinway,Queens,0.07386875435202494779,0.18139085804304189852,0.25525961239506684631,0.26031786581595061444,0.18147583330739784009,7%,18%,26%,26%,18%
44,Charleston/Tottenville,Staten Island,0.07356775112279548691,0.06368715083798882682,0.13725490196078431373,0.09081410139923677994,0.10231516056758775205,7%,6%,14%,9%,10%
65,Downtown Brooklyn/MetroTech,Brooklyn,0.07348493548559552291,0.16329435206490025381,0.23677928755049577672,0.27549401832559598859,0.15687935542646206268,7%,16%,24%,28%,16%
148,Lower East Side,Manhattan,0.07325393370118945376,0.11751219039622824297,0.19076612409741769673,0.19694053966489496896,0.12327621502767457730,7%,12%,19%,20%,12%
93,Flushing Meadows-Corona Park,Queens,0.06918652115570486173,0.20950200343445907270,0.27868852459016393443,0.19231113498030791264,0.13028245715945396457,7%,21%,28%,19%,13%
206,Saint George/New Brighton,Staten Island,0.06869550466497031382,0.12977777777777777778,0.19847328244274809160,0.17365865190453206726,0.12072346278790716732,7%,13%,20%,17%,12%
132,JFK Airport,Queens,0.06604812515729099223,0.13323828616254311365,0.19928641131983410588,0.22967921251577581047,0.10843275925419014417,7%,13%,20%,23%,11%
4,Alphabet City,Manhattan,0.06589790424609142057,0.16392002773604530221,0.22981793198213672278,0.23732430316849879182,0.17914808246119266699,7%,16%,23%,24%,18%
226,Sunnyside,Queens,0.06584363264831159357,0.21935751677697576275,0.28520114942528735632,0.26984495790485205743,0.19745521475198061116,7%,22%,29%,27%,20%
53,College Point,Queens,0.06576880873287689600,0.21879494965638484897,0.28456375838926174497,0.23804588340777665359,0.20293055768935320326,7%,22%,28%,24%,20%
56,Corona,Queens,0.06544862176441699952,0.58299139110145627162,0.64844001286587327114,0.54519496285404074514,0.55433479824210946864,7%,58%,65%,55%,55%
209,Seaport,Manhattan,0.06475288930035277556,0.10874767349109279447,0.17350056279144557003,0.18399643734207647452,0.11169461624418257207,6%,11%,17%,18%,11%
246,West Chelsea/Hudson Yards,Manhattan,0.06168274209373942962,0.09060780681257505655,0.15229054890631448617,0.14222481310679767308,0.09730425274067057627,6%,9%,15%,14%,10%
45,Chinatown,Manhattan,0.06162347986607097005,0.16693563520360292738,0.22855911506967389743,0.25350873674781748419,0.17538368449163905832,6%,17%,23%,25%,18%
74,East Harlem North,Manhattan,0.06114253850851999824,0.20082768999247554552,0.26197022850099554376,0.25507193377604534612,0.20584933961504389144,6%,20%,26%,26%,21%
157,Maspeth,Queens,0.06100169476407100170,0.22521452145214521452,0.28621621621621621622,0.25362901045247715211,0.21676865085371215233,6%,23%,29%,25%,22%
152,Manhattanville,Manhattan,0.06095300911891863236,0.17061641648035771319,0.23156942559927634555,0.20343052832388320704,0.18853779722377655379,6%,17%,23%,20%,19%
158,Meatpacking/West Village West,Manhattan,0.06032054788081051337,0.08666008257874132864,0.14698063045955184201,0.15738562213356202692,0.09065675789021770024,6%,9%,15%,16%,9%
222,Starrett City,Brooklyn,0.06016059727850120863,0.18308264596474203461,0.24324324324324324324,0.18178048223156932608,0.24667184048713509641,6%,18%,24%,18%,25%
