end_taxi_zone_id,time_bucket,taxi_trips,citi_trips,start_taxi_zone_id,taxi_win_rate,taxi_mean,citi_mean,taxi_median,citi_median,taxi_avg_winning_margin,citi_avg_winning_margin,start_zone,start_borough,end_zone,end_borough
13,afternoon,17,16,4,0.9035,1089,1700.1875,998,1657,700.9203099059214,185.51088082901555,Alphabet City,Manhattan,Battery Park City,Manhattan
13,evening,17,17,4,0.9853,932,1869.8823529411766,850,1730,944.042525119253,27.965986394557824,Alphabet City,Manhattan,Battery Park City,Manhattan
13,midday,27,18,4,0.9901,802.2222222222222,1703.5,746,1518.5,904.7560852439148,73.29292929292929,Alphabet City,Manhattan,Battery Park City,Manhattan
13,morning,49,54,4,0.9351,901.0816326530612,1487.0925925925926,863,1495,643.5129932627526,214.79661016949152,Alphabet City,Manhattan,Battery Park City,Manhattan
13,other,39,50,4,0.949,855.0769230769231,1423.58,737,1308.5,632.3849315068493,565.1490196078431,Alphabet City,Manhattan,Battery Park City,Manhattan
33,afternoon,5,5,4,0.7233,1414,2006.4,1414,1485,977.8733582192727,396.42103361040836,Alphabet City,Manhattan,Brooklyn Heights,Brooklyn
45,afternoon,10,31,4,0.6352,711.1,903,680,800,401.7194584382872,164.7001096491228,Alphabet City,Manhattan,Chinatown,Manhattan
45,evening,21,15,4,0.8884,522.6190476190476,909.0666666666667,477,824,442.20868977937863,127.46326164874552,Alphabet City,Manhattan,Chinatown,Manhattan
45,midday,35,39,4,0.7405,703.0285714285715,988.6410256410256,715,945,443.0742741390952,180.6728323699422,Alphabet City,Manhattan,Chinatown,Manhattan
45,morning,43,48,4,0.743,633.4651162790698,824.5208333333334,586,804,332.2484522207268,214.63540856031128,Alphabet City,Manhattan,Chinatown,Manhattan
45,other,36,20,4,0.7035,522.1666666666666,662.45,506.5,558,257.79758351101634,136.34704890387857,Alphabet City,Manhattan,Chinatown,Manhattan
48,afternoon,9,10,4,0.2718,2018.4444444444443,1708.5,1994,1680.5,273.11920529801324,527.2187585828069,Alphabet City,Manhattan,Clinton East,Manhattan
48,evening,25,9,4,0.8553,1440.24,1779.3333333333333,1478,1698,430.52086987022096,194.60262612301312,Alphabet City,Manhattan,Clinton East,Manhattan
48,midday,15,19,4,0.2005,2210.5333333333333,1479.7368421052631,2176,1224,411.08428927680797,1015.9213258286429,Alphabet City,Manhattan,Clinton East,Manhattan
48,morning,15,14,4,0.2847,1851,1651.7142857142858,1843,1638,205.8011942395504,364.0334125541731,Alphabet City,Manhattan,Clinton East,Manhattan
