base_number,base_name,dba,dba_category
B00001,LONDON TOWNCARS INC,,other
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,other
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,other
B00013,LOVE CORP CAR INC,,other
B00014,NY ONE CORP CAR INC,,other
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,other
B00029,COMMUNITY CAR SVC CORP,,other
B00030,TREMONT DISPATCHING CORP,,other
B00031,QUEENS VILLAGE INC.,,other
B00035,LOTUS RIDE INC,,other
B00037,TRANSP UNLIMITED C/S,,other
B00039,BERMUDA LIMOUSINE SERVICE INC.,,other
B00053,CHARGE AND RIDE INC,,other
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,other
B00078,R & R ROAD LIMO SVCE INC,,other
B00083,PAGE-A-RIDE INC,,other
B00084,AUTOMOTIVE SVC SYSTEM INC,,other
B00095,LIBERTY CAR SERVICE INC.,,other
B00106,HUMMINGBIRD CAR SVC,,other
B00111,SKYLINE CREDIT RIDE INC,,other
B00112,HARBOR VIEW TRANS OF S I,HARBORVIEW CAR SERVICE,other
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,other
B00149,RAINBOW RAD DISP INC,,other
B00151,KINGSBAY CAR SERVICE INC,,other
B00160,JAFFA CAR & LIMO SVC INC,,other
B00170,EMUNAH CAR SERVICE INC,,other
B00171,SHAMROCK DISPATCH INC,KELLY'S PRIVATE CAR SERVICE,other
B00183,KEW GARDEN OPERATING CORP,,other
B00196,NEW EASY WAY RADIO DISP INC,,other
B00202,"EXCELSIOR CAR & LIMO, INC.",,other
B00208,ERNEST SCHWARZ INC,,other
B00210,QUEENS DISPATCH SVC INC.,HOWARD,other
B00220,BIG EAST MULTI GROUP CORP.,PREMIER CAR SERVICE,other
B00221,PROFESSIONAL CAR SERVICE INC,,other
B00222,"REYNO CAR SVC, INC.",,other
B00225,DELANCEY CAR SERVICE INC.,DELANCEY CAR SERVICE,other
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,other
B00235,"ARISTACAR & LIMOUSINE, LTD.",,other
B00236,LAST RADIO GROUP CORP.,,other
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,other
B00254,XYZ TWO WAY RADIO,,other
B00255,CAUTIOUS CARS INC.,,other
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,other
B00271,UTOG 2-WAY RADIO INC,UTOG CORPORATE CAR SERVICE,other
B00272,BIG APPLE CAR INC,,other
B00277,ALL CITY CORP TRANS INC,,other
B00278,FAMILY CAR SERVICE,,other
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,other
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,other
B00290,ZPI CORPORATION,NATIONAL HIGH CLASS,other
B00296,PRIME TIME TRANS. INC,,other
B00306,LOVE LIMOUSINE NYC LTD,,other
B00310,WATSON CAR SERVICE INC.,,other
B00318,APPLE RADIO CARS INC,,other
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,other
B00325,CONTINENTAL RADIO DISPATCH CORP.,,other
B00334,DO MAX CORP.,HIGH BRIDGE C/S,other
B00337,KEW GARDENS ENTP INC,,other
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,other
B00346,MERRICK C/S INC,,other
B00350,CHAMPION CAR & LIMO SVC. INC.,,other
B00369,BOULEVARD OPERATING INC.,,other
B00373,PARTICULAR PEOPLE CAR SERVICE INC.,,other
B00375,THE EXCELLENT C/S INC,,other
B00381,BELL RADIO INC,,other
B00385,DELINCE CAR LIVERY SERVICE CORP.,WHITE TOP CAR SERVICE,other
B00387,FORTUNE LIMOUSINES INC,,other
B00401,TREMONT DISPATCHING CORP,,other
B00411,FONE-A-CAR INC,,other
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,other
B00419,KOOP DISPATCHING INC.,,other
B00429,SURF CAR SYSTEMS INC,,other
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,other
B00446,COMMUNICAR INCORPORATED,,other
B00448,DIAL CAR INC.,,other
B00449,A KINGS HWY C/S INC.,,other
B00457,PREMIUM BRONX CORP,,other
B00459,910 CAR SERVICE INC,,other
B00472,FARRELL'S LEASING CO.,,other
B00475,RIDGE TRANSPORTATION CORP.,,other
B00477,INTA-BORO ACRES INC,,other
B00481,806 SERVICE LLC,18TH AVENUE PRIVATE CAR SERVICE INC,other
B00485,EARLY BIRD CAR SERVICE INC,,other
B00492,BLUE WHITE ASSOC. TRANS.SVC.INC.,,other
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,other
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,other
B00552,HINO-MARU ENTERPRISES INC.,,other
B00556,SURREY CADILLAC LIMO SVC INC,,other
B00559,7 OCEAN EXPRESS INC.,,other
B00593,RYDER MANAGEMENT INC.,,other
B00597,WAKEFIELD LSG MAINT CORP,,other
B00608,SUMMIT CORP CAR INC,,other
B00619,LINCOLN LIMO SVCE INC,,other
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,other
B00625,"CENTRAL CAR SERVICES,INC.",,other
B00628,"CONCORD LIMOUSINE 1, LLC",,other
B00639,ROCAPULCO CAR SERVICE INC.,,other
B00647,KISS CAR SERVICE INC,,other
B00652,RESCUE C/S INC,,other
B00653,ROYAL CAR & LIMO SERVICE INC.,,other
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,other
B00693,BUSHWICK CAR SVCE INC,,other
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,other
B00727,RECHEV OF BROOKLYN INC,,other
B00746,BAMADU CAR SVCE,,other
