location_id,borough,zone,service_zone,ntacode
1,EWR,Newark Airport,EWR,NJ01
2,Queens,Jamaica Bay,Boro Zone,QN61
3,Bronx,Allerton/Pelham Gardens,Boro Zone,BX31
4,Manhattan,Alphabet City,Yellow Zone,MN22
5,Staten Island,Arden Heights,Boro Zone,SI48
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,SI14
7,Queens,Astoria,Boro Zone,QN70
8,Queens,Astoria Park,Boro Zone,QN70
9,Queens,Auburndale,Boro Zone,QN48
10,Queens,Baisley Park,Boro Zone,QN76
11,Brooklyn,Bath Beach,Boro Zone,BK27
12,Manhattan,Battery Park,Yellow Zone,MN25
13,Manhattan,Battery Park City,Yellow Zone,MN25
14,Brooklyn,Bay Ridge,Boro Zone,BK31
15,Queens,Bay Terrace/Fort Totten,Boro Zone,QN47
16,Queens,Bayside,Boro Zone,QN46
17,Brooklyn,Bedford,Boro Zone,BK75
18,Bronx,Bedford Park,Boro Zone,BX05
19,Queens,Bellerose,Boro Zone,QN43
20,Bronx,Belmont,Boro Zone,BX06
21,Brooklyn,Bensonhurst East,Boro Zone,BK29
22,Brooklyn,Bensonhurst West,Boro Zone,BK28
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,SI24
24,Manhattan,Bloomingdale,Yellow Zone,MN12
25,Brooklyn,Boerum Hill,Boro Zone,BK38
26,Brooklyn,Borough Park,Boro Zone,BK88
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,QN10
28,Queens,Briarwood/Jamaica Hills,Boro Zone,QN35
29,Brooklyn,Brighton Beach,Boro Zone,BK19
30,Queens,Broad Channel,Boro Zone,QN10
31,Bronx,Bronx Park,Boro Zone,BX49
32,Bronx,Bronxdale,Boro Zone,BX07
33,Brooklyn,Brooklyn Heights,Boro Zone,BK09
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,BK69
35,Brooklyn,Brownsville,Boro Zone,BK81
36,Brooklyn,Bushwick North,Boro Zone,BK77
37,Brooklyn,Bushwick South,Boro Zone,BK78
38,Queens,Cambria Heights,Boro Zone,QN33
39,Brooklyn,Canarsie,Boro Zone,BK50
40,Brooklyn,Carroll Gardens,Boro Zone,BK33
41,Manhattan,Central Harlem,Boro Zone,MN03
42,Manhattan,Central Harlem North,Boro Zone,MN03
43,Manhattan,Central Park,Yellow Zone,MN99
44,Staten Island,Charleston/Tottenville,Boro Zone,SI11
45,Manhattan,Chinatown,Yellow Zone,MN27
46,Bronx,City Island,Boro Zone,BX10
47,Bronx,Claremont/Bathgate,Boro Zone,BX01
48,Manhattan,Clinton East,Yellow Zone,MN15
49,Brooklyn,Clinton Hill,Boro Zone,BK69
50,Manhattan,Clinton West,Yellow Zone,MN15
51,Bronx,Co-Op City,Boro Zone,BX13
52,Brooklyn,Cobble Hill,Boro Zone,BK09
53,Queens,College Point,Boro Zone,QN23
54,Brooklyn,Columbia Street,Boro Zone,BK33
55,Brooklyn,Coney Island,Boro Zone,BK21
56,Queens,Corona,Boro Zone,QN25
57,Queens,Corona,Boro Zone,QN25
58,Bronx,Country Club,Boro Zone,BX10
59,Bronx,Crotona Park,Boro Zone,BX75
60,Bronx,Crotona Park East,Boro Zone,BX75
61,Brooklyn,Crown Heights North,Boro Zone,BK61
62,Brooklyn,Crown Heights South,Boro Zone,BK63
63,Brooklyn,Cypress Hills,Boro Zone,BK83
64,Queens,Douglaston,Boro Zone,QN45
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,BK38
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,BK38
67,Brooklyn,Dyker Heights,Boro Zone,BK30
68,Manhattan,East Chelsea,Yellow Zone,MN13
69,Bronx,East Concourse/Concourse Village,Boro Zone,BX14
70,Queens,East Elmhurst,Boro Zone,QN27
71,Brooklyn,East Flatbush/Farragut,Boro Zone,BK91
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,BK96
73,Queens,East Flushing,Boro Zone,QN52
74,Manhattan,East Harlem North,Boro Zone,MN34
75,Manhattan,East Harlem South,Boro Zone,MN33
76,Brooklyn,East New York,Boro Zone,BK82
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,BK85
78,Bronx,East Tremont,Boro Zone,BX17
79,Manhattan,East Village,Yellow Zone,MN22
80,Brooklyn,East Williamsburg,Boro Zone,BK90
81,Bronx,Eastchester,Boro Zone,BX03
